Component,Arabic,Chinese Traditional,German,Hindi,Spanish,Turkish,Chinese Simplified (zh/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain folder,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infrastructure folder,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infrastructure/data folder,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tests folder,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tests/fixtures folder,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tests/utils folder,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__init__.py (root),Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analyzer.py,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - __init__,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_grammar_prompt,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_sentence_generation_prompt,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - parse_grammar_response,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - analyze_grammar,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - batch_analyze_grammar,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - validate_analysis,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_supported_complexities,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_language_info,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - validate_arabic_text,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammar Analysis Prompt,[[Analyze this Arabic sentence for language learning: "{sentence}" Target word: "{target_word}" For each word provide a detailed explanation that combines grammatical role meaning and function in this EXACT format: "grammatical_role (specific_type) - meaning 'semantic_meaning' - functions as syntactic_function - morphological_notes" EXAMPLE for Arabic word "????": "verb (imperfect) - meaning 'he writes' - functions as main verb of sentence - Form I third person masculine singular nominative case" Return ONLY valid JSON in this exact format: { "words": [ { "word": "exact_word" "grammatical_role": "brief_role" "meaning": "grammatical_role (specific_type) - meaning 'semantic_meaning' - functions as syntactic_function - morphological_notes" } ] "overall_analysis": { "sentence_structure": "brief description" "key_features": "important grammatical points" } }]],[[Analyze this Chinese Traditional sentence and provide DETAILED grammatical breakdown. Sentence: {{sentence}} Target word: {{target_word}} Complexity level: {{complexity}} For EACH word/character in the sentence provide: - Its specific grammatical function and role - How it contributes to the sentence meaning - Relationships with adjacent words - Chinese-specific features (aspect classifiers particles) Return a JSON object with exactly this structure: { "sentence": "{{sentence}}" "words": [ { "word": "character/word" "grammatical_role": "noun|verb|aspect_particle|measure_word|particle|..." "individual_meaning": "Detailed explanation of this element's function relationships and contribution to sentence meaning" } ] "explanations": { "overall_structure": "Detailed explanation of sentence structure and word relationships" "key_features": "Notable Chinese grammatical features like aspect usage classifier selection particle functions" } } CRITICAL: Provide COMPREHENSIVE explanations for EVERY element explaining relationships and functions in detail.]],[[You are an expert linguist specializing in German grammar analysis. Analyze this German sentence: "{{sentence}}" Target word: "{{target_word}}" Complexity level: "{{complexity}}" For EACH word in the sentence provide: - Its specific grammatical function and role in German grammar - How it contributes to the sentence meaning and structure - Relationships with adjacent words and grammatical agreement - German-specific features (case gender verb conjugations word order) MANDATORY: Respond with VALID JSON only. No explanations no markdown no code blocks. REQUIRED JSON FORMAT: { "words": [ { "word": "exact_word" "grammatical_role": "detailed role description (e.g. definite article transitive verb reflexive pronoun)" "grammatical_case": "nominative|accusative|dative|genitive|null" "gender": "masculine|feminine|neuter|null" "individual_meaning": "Detailed explanation of this word's function relationships and contribution to the sentence meaning" } ] "overall_analysis": { "sentence_structure": "brief description of German sentence structure" "key_features": "important German grammatical points" } } CRITICAL: Provide COMPREHENSIVE explanations for EVERY word explaining their specific functions and relationships in detail. Do NOT repeat word prefixes in the explanations. Grammatical roles: {{grammatical_roles}}]],[[Analyze this Hindi sentence and provide a detailed grammatical breakdown. Sentence: {{sentence}} Target word: {{target_word}} Complexity level: {{complexity}} Return a JSON object with exactly this structure: { "sentence": "{{sentence}}" "words": [ { "word": "first_word" "grammatical_role": "noun|verb|pronoun|adjective|adverb|postposition|conjunction|interjection|particle|other" "individual_meaning": "brief explanation of this word's role in the sentence" } { "word": "second_word" "grammatical_role": "noun|verb|pronoun|adjective|adverb|postposition|conjunction|interjection|particle|other" "individual_meaning": "brief explanation of this word's role in the sentence" } ] "explanations": { "overall_structure": "brief explanation of sentence structure" "key_features": "any notable grammatical features" } } Important: - Break down the sentence into individual words - Assign appropriate grammatical roles from the list above - Provide meaningful explanations for each word - Use only valid JSON format]],[[You are an expert linguist specializing in Spanish grammar analysis. Analyze this Spanish sentence: "{{sentence}}" Target word: "{{target_word}}" Complexity level: "{{complexity}}" For EACH word in the sentence provide: - Its specific grammatical function and role in Spanish grammar - How it contributes to the sentence meaning and structure - Relationships with adjacent words and grammatical agreement - Spanish-specific features (gender agreement verb conjugations preposition usage) MANDATORY: Respond with VALID JSON only. No explanations no markdown no code blocks. REQUIRED JSON FORMAT: { "words": [ { "word": "exact_word" "grammatical_role": "noun|verb|adjective|pronoun|preposition|conjunction|determiner|adverb|auxiliary|reflexive|clitic|subjunctive" "individual_meaning": "Detailed explanation of this word's function relationships and contribution to the sentence meaning" } ] "overall_analysis": { "sentence_structure": "brief description of Spanish sentence structure" "key_features": "important Spanish grammatical points" } } CRITICAL: Provide COMPREHENSIVE explanations for EVERY word explaining their specific functions and relationships in detail. Do NOT repeat word prefixes in the explanations. Grammatical roles: {{grammatical_roles}}]],In Progress,[[Analyze this Chinese sentence and provide DETAILED grammatical breakdown. Sentence: {{sentence}} Target word: {{target_word}} Complexity level: {{complexity}} For EACH word/character in the sentence provide: - Its specific grammatical function and role - How it contributes to the sentence meaning - Relationships with adjacent words - Chinese-specific features (aspect classifiers particles) Return a JSON object with exactly this structure: { "sentence": "{{sentence}}" "words": [ { "word": "character/word" "grammatical_role": "noun|verb|aspect_marker|classifier|particle|..." "individual_meaning": "Detailed explanation of this element's function relationships and contribution to sentence meaning" } ] "explanations": { "overall_structure": "Detailed explanation of sentence structure and word relationships" "key_features": "Notable Chinese grammatical features like aspect usage classifier selection particle functions" } } CRITICAL: Provide COMPREHENSIVE explanations for EVERY element explaining relationships and functions in detail.]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grammar Analysis Prompt[[Analyze this Arabic sentence for language learning: "{sentence}" Target word: "{target_word}" For each word provide a detailed explanation that combines grammatical role meaning and function in this EXACT format: "grammatical_role (specific_type) - meaning 'semantic_meaning' - functions as syntactic_function - morphological_notes" EXAMPLE for Arabic word "????": "verb (imperfect) - meaning 'he writes' - functions as main verb of sentence - Form I third person masculine singular nominative case" Return ONLY valid JSON in this exact format: { "words": [ { "word": "exact_word" "grammatical_role": "brief_role" "meaning": "grammatical_role (specific_type) - meaning 'semantic_meaning' - functions as syntactic_function - morphological_notes" } ] "overall_analysis": { "sentence_structure": "brief description" "key_features": "important grammatical points" } }]][[Analyze this Chinese Traditional sentence and provide DETAILED grammatical breakdown. Sentence: {{sentence}} Target word: {{target_word}} Complexity level: {{complexity}} For EACH word/character in the sentence provide: - Its specific grammatical function and role - How it contributes to the sentence meaning - Relationships with adjacent words - Chinese-specific features (aspect classifiers particles) Return a JSON object with exactly this structure: { "sentence": "{{sentence}}" "words": [ { "word": "character/word" "grammatical_role": "noun|verb|aspect_particle|measure_word|particle|..." "individual_meaning": "Detailed explanation of this element's function relationships and contribution to sentence meaning" } ] "explanations": { "overall_structure": "Detailed explanation of sentence structure and word relationships" "key_features": "Notable Chinese grammatical features like aspect usage classifier selection particle functions" } } CRITICAL: Provide COMPREHENSIVE explanations for EVERY element explaining relationships and functions in detail.]][[You are an expert linguist specializing in German grammar analysis. Analyze this German sentence: "{{sentence}}" Target word: "{{target_word}}" Complexity level: "{{complexity}}" For EACH word in the sentence provide: - Its specific grammatical function and role in German grammar - How it contributes to the sentence meaning and structure - Relationships with adjacent words and grammatical agreement - German-specific features (case gender verb conjugations word order) MANDATORY: Respond with VALID JSON only. No explanations no markdown no code blocks. REQUIRED JSON FORMAT: { "words": [ { "word": "exact_word" "grammatical_role": "detailed role description (e.g. definite article transitive verb reflexive pronoun)" "grammatical_case": "nominative|accusative|dative|genitive|null" "gender": "masculine|feminine|neuter|null" "individual_meaning": "Detailed explanation of this word's function relationships and contribution to the sentence meaning" } ] "overall_analysis": { "sentence_structure": "brief description of German sentence structure" "key_features": "important German grammatical points" } } CRITICAL: Provide COMPREHENSIVE explanations for EVERY word explaining their specific functions and relationships in detail. Do NOT repeat word prefixes in the explanations. Grammatical roles: {{grammatical_roles}}]][[Analyze this Hindi sentence and provide a detailed grammatical breakdown. Sentence: {{sentence}} Target word: {{target_word}} Complexity level: {{complexity}} Return a JSON object with exactly this structure: { "sentence": "{{sentence}}" "words": [ { "word": "first_word" "grammatical_role": "noun|verb|pronoun|adjective|adverb|postposition|conjunction|interjection|particle|other" "individual_meaning": "brief explanation of this word's role in the sentence" } { "word": "second_word" "grammatical_role": "noun|verb|pronoun|adjective|adverb|postposition|conjunction|interjection|particle|other" "individual_meaning": "brief explanation of this word's role in the sentence" } ] "explanations": { "overall_structure": "brief explanation of sentence structure" "key_features": "any notable grammatical features" } } Important: - Break down the sentence into individual words - Assign appropriate grammatical roles from the list above - Provide meaningful explanations for each word - Use only valid JSON format]][[You are an expert linguist specializing in Spanish grammar analysis. Analyze this Spanish sentence: "{{sentence}}" Target word: "{{target_word}}" Complexity level: "{{complexity}}" For EACH word in the sentence provide: - Its specific grammatical function and role in Spanish grammar - How it contributes to the sentence meaning and structure - Relationships with adjacent words and grammatical agreement - Spanish-specific features (gender agreement verb conjugations preposition usage) MANDATORY: Respond with VALID JSON only. No explanations no markdown no code blocks. REQUIRED JSON FORMAT: { "words": [ { "word": "exact_word" "grammatical_role": "noun|verb|adjective|pronoun|preposition|conjunction|determiner|adverb|auxiliary|reflexive|clitic|subjunctive" "individual_meaning": "Detailed explanation of this word's function relationships and contribution to the sentence meaning" } ] "overall_analysis": { "sentence_structure": "brief description of Spanish sentence structure" "key_features": "important Spanish grammatical points" } } CRITICAL: Provide COMPREHENSIVE explanations for EVERY word explaining their specific functions and relationships in detail. Do NOT repeat word prefixes in the explanations. Grammatical roles: {{grammatical_roles}}]]In Progress[[Analyze this Chinese sentence and provide DETAILED grammatical breakdown. Sentence: {{sentence}} Target word: {{target_word}} Complexity level: {{complexity}} For EACH word/character in the sentence provide: - Its specific grammatical function and role - How it contributes to the sentence meaning - Relationships with adjacent words - Chinese-specific features (aspect classifiers particles) Return a JSON object with exactly this structure: { "sentence": "{{sentence}}" "words": [ { "word": "character/word" "grammatical_role": "noun|verb|aspect_marker|classifier|particle|..." "individual_meaning": "Detailed explanation of this element's function relationships and contribution to sentence meaning" } ] "explanations": { "overall_structure": "Detailed explanation of sentence structure and word relationships" "key_features": "Notable Chinese grammatical features like aspect usage classifier selection particle functions" } } CRITICAL: Provide COMPREHENSIVE explanations for EVERY element explaining relationships and functions in detail.]]
